Hurry, Only 7 left!	Urgency
In demand	Scarcity
Hurry! Only 2 left in stock	Scarcity
In Stock only 3 left	Scarcity
Hurry! Only 2 left	Scarcity
ONLY 8 LEFT	Scarcity
Limited Availability	Scarcity
894 Claimed! Hurry, only a few left!	Scarcity
4 items left	Scarcity
HURRY! EXCLUSIVE DEAL FOR YOU! 1 4 : 4 5	Urgency
Offer ends in	Urgency
Only 7 left in stock.	Scarcity
1 in Stock	Scarcity
Low Stock Alert: Only 8 left in inventory	Scarcity
Only 3 items left	Scarcity
87% offers claimed. Hurry up!	Scarcity
HURRY! £32.99 UK DELIVERY ENDS SOON	Urgency
ONLY 3 LEFT	Scarcity
8 items left	Scarcity
96 ITEM(S) LEFT IN STOCK!	Scarcity
Only 1 left In Stock	Scarcity
Availability: Only 4 Left!	Scarcity
Your order is reserved for 09:54 minutes!	Urgency
This size has only 1 left in stock	Scarcity
HURRY! ONLY 2 LEFT IN STOCK!	Scarcity
DEAL ENDS IN 40:55:13	Urgency
Only 1 Left	Scarcity
Only 33 left	Scarcity
Hurry, only a few left!	Scarcity
Only 11 left!	Scarcity
Hurry! Only 6 left in stock	Scarcity
90% offers claimed. Hurry up!	Scarcity
18 In Stock	Scarcity
00:15:07:45	Urgency
Only 9 Left.	Scarcity
Your order is reserved for 09:14 minutes!	Urgency
Limited time remaining!	Urgency
Only 7 left in stock!	Scarcity
Only 5 item(s) left.	Scarcity
(only 5 left)	Scarcity
Only 11 Left In Stock	Scarcity
Your order is reserved for 08:48 minutes!	Urgency
11 11 Hours: 00 22 Minutes: 3223 3223 Seconds	Urgency
Only 1 Item(s) left	Scarcity
Hurry, Only a few left!	Urgency
Limited Time: $10 Off! Discount Reflected In Price!	Urgency
Hurry up! Prices increase in 0 DAYS 11 HRS 59 MINS 55 SECS	Urgency
Hurry, only 1 left!	Scarcity
Only 26 Left	Scarcity
LAST CHANCE - UP TO 70% OFF - ENDS IN: 20 HRS 28 MINS 30 SECS	Urgency
HURRY UP > 09H 42M 39S	Urgency
ONLY 2 LEFT IN STOCK!	Scarcity
Only few items left in stock	Scarcity
Only 1.75 yards left in stock!	Scarcity
Only 8 left	Scarcity
